"HCPCS CODE","MODIFIER","SHORT DESCRIPTION","PROC STAT","MAC LOCALITY","NON-FACILITY PRICE","FACILITY PRICE","NON-FACILITY LIMITING CHARGE","FACILITY LIMITING CHARGE","CONV FACT","GPCI WORK","GPCI PE","GPCI MP","PROC STAT","PCTC","NOT USED FOR MEDICARE","WORK RVU","NA FLAG FOR NON-FAC PE RVU","NON-FACILITY PE RVU","NA FLAG FOR TRANS NON-FAC PE RVU","TRANSITIONED NON-FAC PE RVU","NA FLG FOR FULLY IMP NON-FAC PE RVU","FULLY IMPLEMENTED NON-FAC PE RVU","NA FLAG FOR TRANS FACILITY PE RVU","NA FLAG FOR FACILITY PE RVU","FACILITY PE RVU","TRANSITIONED FACILITY PE RVU","NA FLAG FOR FULLY IMP FAC PE RVU","FULLY IMPLEMENTED FACILITY PE RVU","MP RVU","NON-FACILITY TOTAL","TRANSITIONED NON-FAC TOTAL","FACILITY TOTAL","TRANSITIONED FACILITY TOTAL","FULLY IMPLEMENTED NON-FAC TOTAL","FULLY IMPLEMENTED FACILITY TOTAL","PCTC","GLOBAL","PRE OP","INTRA OP","POST OP","MULT SURG","BILT SURG","ASST SURG","CO SURG","TEAM SURG","PHYS SUPV","ENDOBASE","CONV FACT","NOT USED FOR MEDICARE","DIAG IMAGING FAMILY IND","OPPS NON-FACILITY PAYMENT AMOUNT<sup>1</sup>","OPPS FACILITY PAYMENT AMOUNT<sup>1</sup>","NON-FAC PE USED FOR OPPS PMT AMT","FACILITY PE USED FOR OPPS PMT AMT","MALPRACTICE USED FOR OPPS PMT AMT",
"","","","","1441201","","","","","","1.025","1.052","0.879","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","1120201","","","","","","1.000","0.912","0.634","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","0340202","","","","","","1.000","1.000","0.395","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","1030235","","","","","","1.000","0.900","0.525","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","0441231","","","","","","1.000","1.020","0.757","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","0441220","","","","","","1.000","0.913","0.897","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","0441209","","","","","","1.020","0.994","0.897","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","0441211","","","","","","1.015","1.012","0.770","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","0441228","","","","","","1.006","0.991","0.760","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","0441215","","","","","","1.020","1.012","0.897","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","0441218","","","","","","1.020","1.009","0.946","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","0441299","","","","","","1.000","0.929","0.809","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","0350209","","","","","","1.000","0.925","1.167","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","1451250","","","","","","1.000","1.010","0.639","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","1130200","","","","","","1.000","0.985","0.866","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","0920250","","","","","","1.000","1.006","0.993","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","0240202","","","","","","1.026","1.151","0.713","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","0240299","","","","","","1.000","1.013","0.689","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","1140216","","","","","","1.000","0.847","1.289","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","0630200","","","","","","1.000","0.956","0.457","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","0360221","","","","","","1.000","1.000","1.050","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
