"Notes"	"2013 Urbanization"	"2013 Urbanization Code"	"Census Division"	"Census Division Code"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Large Central Metro"	"1"	"Division 6: East South Central"	"CENS-D6"	"2016"	"2016"	"5-14 years"	"5-14"	Suppressed	385445	Suppressed
	"Large Central Metro"	"1"	"Division 6: East South Central"	"CENS-D6"	"2016"	"2016"	"15-24 years"	"15-24"	67	398620	16.8
	"Large Central Metro"	"1"	"Division 6: East South Central"	"CENS-D6"	"2016"	"2016"	"25-34 years"	"25-34"	208	477544	43.6
	"Large Central Metro"	"1"	"Division 6: East South Central"	"CENS-D6"	"2016"	"2016"	"35-44 years"	"35-44"	180	389244	46.2
	"Large Central Metro"	"1"	"Division 6: East South Central"	"CENS-D6"	"2016"	"2016"	"45-54 years"	"45-54"	127	387548	32.8
	"Large Central Metro"	"1"	"Division 6: East South Central"	"CENS-D6"	"2016"	"2016"	"55-64 years"	"55-64"	93	387978	24.0
	"Large Central Metro"	"1"	"Division 6: East South Central"	"CENS-D6"	"2016"	"2016"	"65-74 years"	"65-74"	16	242316	Unreliable
	"Large Central Metro"	"1"	"Division 6: East South Central"	"CENS-D6"	"2016"	"2016"	"75-84 years"	"75-84"	Suppressed	115196	Suppressed
	"Large Central Metro"	"1"	"Division 6: East South Central"	"CENS-D6"	"2016"	"2016"	"85+ years"	"85+"	Suppressed	53910	Suppressed
	"Large Central Metro"	"1"	"Division 6: East South Central"	"CENS-D6"	"2016"	"2016"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Large Central Metro"	"1"	"Division 6: East South Central"	"CENS-D6"	"2016"	"2016"			696	3043886	22.9
	"Large Central Metro"	"1"	"Division 6: East South Central"	"CENS-D6"	"2017"	"2017"	"< 1 year"	"1"	Suppressed	41701	Suppressed
	"Large Central Metro"	"1"	"Division 6: East South Central"	"CENS-D6"	"2017"	"2017"	"1-4 years"	"1-4"	Suppressed	162266	Suppressed
	"Large Central Metro"	"1"	"Division 6: East South Central"	"CENS-D6"	"2017"	"2017"	"5-14 years"	"5-14"	Suppressed	385732	Suppressed
	"Large Central Metro"	"1"	"Division 6: East South Central"	"CENS-D6"	"2017"	"2017"	"15-24 years"	"15-24"	58	394579	14.7
	"Large Central Metro"	"1"	"Division 6: East South Central"	"CENS-D6"	"2017"	"2017"	"25-34 years"	"25-34"	241	485787	49.6
	"Large Central Metro"	"1"	"Division 6: East South Central"	"CENS-D6"	"2017"	"2017"	"35-44 years"	"35-44"	217	390632	55.6
	"Large Central Metro"	"1"	"Division 6: East South Central"	"CENS-D6"	"2017"	"2017"	"45-54 years"	"45-54"	150	381469	39.3
	"Large Central Metro"	"1"	"Division 6: East South Central"	"CENS-D6"	"2017"	"2017"	"55-64 years"	"55-64"	94	388234	24.2
	"Large Central Metro"	"1"	"Division 6: East South Central"	"CENS-D6"	"2017"	"2017"	"65-74 years"	"65-74"	16	255990	Unreliable
	"Large Central Metro"	"1"	"Division 6: East South Central"	"CENS-D6"	"2017"	"2017"	"75-84 years"	"75-84"	Suppressed	118344	Suppressed
	"Large Central Metro"	"1"	"Division 6: East South Central"	"CENS-D6"	"2017"	"2017"	"85+ years"	"85+"	Suppressed	53825	Suppressed
	"Large Central Metro"	"1"	"Division 6: East South Central"	"CENS-D6"	"2017"	"2017"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Large Central Metro"	"1"	"Division 6: East South Central"	"CENS-D6"	"2017"	"2017"			779	3058559	25.5
	"Large Central Metro"	"1"	"Division 6: East South Central"	"CENS-D6"	"2018"	"2018"	"< 1 year"	"1"	Suppressed	40428	Suppressed
	"Large Central Metro"	"1"	"Division 6: East South Central"	"CENS-D6"	"2018"	"2018"	"1-4 years"	"1-4"	Suppressed	160669	Suppressed
	"Large Central Metro"	"1"	"Division 6: East South Central"	"CENS-D6"	"2018"	"2018"	"5-14 years"	"5-14"	Suppressed	385540	Suppressed
	"Large Central Metro"	"1"	"Division 6: East South Central"	"CENS-D6"	"2018"	"2018"	"15-24 years"	"15-24"	49	389643	12.6
	"Large Central Metro"	"1"	"Division 6: East South Central"	"CENS-D6"	"2018"	"2018"	"25-34 years"	"25-34"	217	489818	44.3
	"Large Central Metro"	"1"	"Division 6: East South Central"	"CENS-D6"	"2018"	"2018"	"35-44 years"	"35-44"	193	392304	49.2
	"Large Central Metro"	"1"	"Division 6: East South Central"	"CENS-D6"	"2018"	"2018"	"45-54 years"	"45-54"	127	372510	34.1
	"Large Central Metro"	"1"	"Division 6: East South Central"	"CENS-D6"	"2018"	"2018"	"55-64 years"	"55-64"	99	386312	25.6
	"Large Central Metro"	"1"	"Division 6: East South Central"	"CENS-D6"	"2018"	"2018"	"65-74 years"	"65-74"	14	264434	Unreliable
	"Large Central Metro"	"1"	"Division 6: East South Central"	"CENS-D6"	"2018"	"2018"	"75-84 years"	"75-84"	Suppressed	122428	Suppressed
	"Large Central Metro"	"1"	"Division 6: East South Central"	"CENS-D6"	"2018"	"2018"	"85+ years"	"85+"	Suppressed	54082	Suppressed
	"Large Central Metro"	"1"	"Division 6: East South Central"	"CENS-D6"	"2018"	"2018"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Large Central Metro"	"1"	"Division 6: East South Central"	"CENS-D6"	"2018"	"2018"			701	3058168	22.9
"Total"	"Large Central Metro"	"1"	"Division 6: East South Central"	"CENS-D6"					4830	35937177	13.4
	"Large Central Metro"	"1"	"Division 7: West South Central"	"CENS-D7"	"2007"	"2007"	"< 1 year"	"1"	Suppressed	202189	Suppressed
	"Large Central Metro"	"1"	"Division 7: West South Central"	"CENS-D7"	"2007"	"2007"	"1-4 years"	"1-4"	Suppressed	786297	Suppressed
	"Large Central Metro"	"1"	"Division 7: West South Central"	"CENS-D7"	"2007"	"2007"	"5-14 years"	"5-14"	Suppressed	1794219	Suppressed
	"Large Central Metro"	"1"	"Division 7: West South Central"	"CENS-D7"	"2007"	"2007"	"15-24 years"	"15-24"	99	1789654	5.5
	"Large Central Metro"	"1"	"Division 7: West South Central"	"CENS-D7"	"2007"	"2007"	"25-34 years"	"25-34"	152	1925807	7.9
	"Large Central Metro"	"1"	"Division 7: West South Central"	"CENS-D7"	"2007"	"2007"	"35-44 years"	"35-44"	158	1814907	8.7
	"Large Central Metro"	"1"	"Division 7: West South Central"	"CENS-D7"	"2007"	"2007"	"45-54 years"	"45-54"	211	1657953	12.7
	"Large Central Metro"	"1"	"Division 7: West South Central"	"CENS-D7"	"2007"	"2007"	"55-64 years"	"55-64"	72	1112475	6.5
	"Large Central Metro"	"1"	"Division 7: West South Central"	"CENS-D7"	"2007"	"2007"	"65-74 years"	"65-74"	Suppressed	565375	Suppressed
	"Large Central Metro"	"1"	"Division 7: West South Central"	"CENS-D7"	"2007"	"2007"	"75-84 years"	"75-84"	Suppressed	342453	Suppressed
	"Large Central Metro"	"1"	"Division 7: West South Central"	"CENS-D7"	"2007"	"2007"	"85+ years"	"85+"	Suppressed	120459	Suppressed
	"Large Central Metro"	"1"	"Division 7: West South Central"	"CENS-D7"	"2007"	"2007"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Large Central Metro"	"1"	"Division 7: West South Central"	"CENS-D7"	"2007"	"2007"			706	12111788	5.8
	"Large Central Metro"	"1"	"Division 7: West South Central"	"CENS-D7"	"2008"	"2008"	"< 1 year"	"1"	Suppressed	203635	Suppressed
	"Large Central Metro"	"1"	"Division 7: West South Central"	"CENS-D7"	"2008"	"2008"	"1-4 years"	"1-4"	Suppressed	798381	Suppressed
	"Large Central Metro"	"1"	"Division 7: West South Central"	"CENS-D7"	"2008"	"2008"	"5-14 years"	"5-14"	Suppressed	1836173	Suppressed
	"Large Central Metro"	"1"	"Division 7: West South Central"	"CENS-D7"	"2008"	"2008"	"15-24 years"	"15-24"	86	1821101	4.7
	"Large Central Metro"	"1"	"Division 7: West South Central"	"CENS-D7"	"2008"	"2008"	"25-34 years"	"25-34"	109	1963700	5.6
	"Large Central Metro"	"1"	"Division 7: West South Central"	"CENS-D7"	"2008"	"2008"	"35-44 years"	"35-44"	129	1824758	7.1
	"Large Central Metro"	"1"	"Division 7: West South Central"	"CENS-D7"	"2008"	"2008"	"45-54 years"	"45-54"	143	1695743	8.4
	"Large Central Metro"	"1"	"Division 7: West South Central"	"CENS-D7"	"2008"	"2008"	"55-64 years"	"55-64"	51	1163855	4.4
	"Large Central Metro"	"1"	"Division 7: West South Central"	"CENS-D7"	"2008"	"2008"	"65-74 years"	"65-74"	13	596082	Unreliable
	"Large Central Metro"	"1"	"Division 7: West South Central"	"CENS-D7"	"2008"	"2008"	"75-84 years"	"75-84"	Suppressed	345556	Suppressed
	"Large Central Metro"	"1"	"Division 7: West South Central"	"CENS-D7"	"2008"	"2008"	"85+ years"	"85+"	Suppressed	126214	Suppressed
	"Large Central Metro"	"1"	"Division 7: West South Central"	"CENS-D7"	"2008"	"2008"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Large Central Metro"	"1"	"Division 7: West South Central"	"CENS-D7"	"2008"	"2008"			539	12375198	4.4
	"Large Central Metro"	"1"	"Division 7: West South Central"	"CENS-D7"	"2009"	"2009"	"< 1 year"	"1"	Suppressed	203225	Suppressed
	"Large Central Metro"	"1"	"Division 7: West South Central"	"CENS-D7"	"2009"	"2009"	"1-4 years"	"1-4"	Suppressed	808036	Suppressed
	"Large Central Metro"	"1"	"Division 7: West South Central"	"CENS-D7"	"2009"	"2009"	"5-14 years"	"5-14"	Suppressed	1887698	Suppressed
	"Large Central Metro"	"1"	"Division 7: West South Central"	"CENS-D7"	"2009"	"2009"	"15-24 years"	"15-24"	98	1857061	5.3
	"Large Central Metro"	"1"	"Division 7: West South Central"	"CENS-D7"	"2009"	"2009"	"25-34 years"	"25-34"	169	2007520	8.4
	"Large Central Metro"	"1"	"Division 7: West South Central"	"CENS-D7"	"2009"	"2009"	"35-44 years"	"35-44"	155	1837677	8.4
	"Large Central Metro"	"1"	"Division 7: West South Central"	"CENS-D7"	"2009"	"2009"	"45-54 years"	"45-54"	214	1731889	12.4
	"Large Central Metro"	"1"	"Division 7: West South Central"	"CENS-D7"	"2009"	"2009"	"55-64 years"	"55-64"	90	1221330	7.4
	"Large Central Metro"	"1"	"Division 7: West South Central"	"CENS-D7"	"2009"	"2009"	"65-74 years"	"65-74"	13	626194	Unreliable
	"Large Central Metro"	"1"	"Division 7: West South Central"	"CENS-D7"	"2009"	"2009"	"75-84 years"	"75-84"	Suppressed	349477	Suppressed
	"Large Central Metro"	"1"	"Division 7: West South Central"	"CENS-D7"	"2009"	"2009"	"85+ years"	"85+"	Suppressed	132535	Suppressed
	"Large Central Metro"	"1"	"Division 7: West South Central"	"CENS-D7"	"2009"	"2009"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Large Central Metro"	"1"	"Division 7: West South Central"	"CENS-D7"	"2009"	"2009"			745	12662642	5.9
	"Large Central Metro"	"1"	"Division 7: West South Central"	"CENS-D7"	"2010"	"2010"	"< 1 year"	"1"	Suppressed	202078	Suppressed
	"Large Central Metro"	"1"	"Division 7: West South Central"	"CENS-D7"	"2010"	"2010"	"1-4 years"	"1-4"	Suppressed	811968	Suppressed
	"Large Central Metro"	"1"	"Division 7: West South Central"	"CENS-D7"	"2010"	"2010"	"5-14 years"	"5-14"	Suppressed	1925646	Suppressed
	"Large Central Metro"	"1"	"Division 7: West South Central"	"CENS-D7"	"2010"	"2010"	"15-24 years"	"15-24"	103	1876728	5.5
	"Large Central Metro"	"1"	"Division 7: West South Central"	"CENS-D7"	"2010"	"2010"	"25-34 years"	"25-34"	165	2034421	8.1
	"Large Central Metro"	"1"	"Division 7: West South Central"	"CENS-D7"	"2010"	"2010"	"35-44 years"	"35-44"	130	1847260	7.0
	"Large Central Metro"	"1"	"Division 7: West South Central"	"CENS-D7"	"2010"	"2010"	"45-54 years"	"45-54"	199	1749819	11.4
	"Large Central Metro"	"1"	"Division 7: West South Central"	"CENS-D7"	"2010"	"2010"	"55-64 years"	"55-64"	94	1268024	7.4
	"Large Central Metro"	"1"	"Division 7: West South Central"	"CENS-D7"	"2010"	"2010"	"65-74 years"	"65-74"	22	647866	3.4
	"Large Central Metro"	"1"	"Division 7: West South Central"	"CENS-D7"	"2010"	"2010"	"75-84 years"	"75-84"	Suppressed	353368	Suppressed
	"Large Central Metro"	"1"	"Division 7: West South Central"	"CENS-D7"	"2010"	"2010"	"85+ years"	"85+"	Suppressed	136296	Suppressed
	"Large Central Metro"	"1"	"Division 7: West South Central"	"CENS-D7"	"2010"	"2010"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Large Central Metro"	"1"	"Division 7: West South Central"	"CENS-D7"	"2010"	"2010"			719	12853474	5.6
	"Large Central Metro"	"1"	"Division 7: West South Central"	"CENS-D7"	"2011"	"2011"	"< 1 year"	"1"	Suppressed	213973	Suppressed
	"Large Central Metro"	"1"	"Division 7: West South Central"	"CENS-D7"	"2011"	"2011"	"1-4 years"	"1-4"	Suppressed	822977	Suppressed
	"Large Central Metro"	"1"	"Division 7: West South Central"	"CENS-D7"	"2011"	"2011"	"5-14 years"	"5-14"	Suppressed	1970557	Suppressed
	"Large Central Metro"	"1"	"Division 7: West South Central"	"CENS-D7"	"2011"	"2011"	"15-24 years"	"15-24"	131	1888139	6.9
	"Large Central Metro"	"1"	"Division 7: West South Central"	"CENS-D7"	"2011"	"2011"	"25-34 years"	"25-34"	194	2089215	9.3
	"Large Central Metro"	"1"	"Division 7: West South Central"	"CENS-D7"	"2011"	"2011"	"35-44 years"	"35-44"	150	1876435	8.0
	"Large Central Metro"	"1"	"Division 7: West South Central"	"CENS-D7"	"2011"	"2011"	"45-54 years"	"45-54"	178	1771810	10.0
	"Large Central Metro"	"1"	"Division 7: West South Central"	"CENS-D7"	"2011"	"2011"	"55-64 years"	"55-64"	94	1346875	7.0
	"Large Central Metro"	"1"	"Division 7: West South Central"	"CENS-D7"	"2011"	"2011"	"65-74 years"	"65-74"	14	683442	Unreliable
	"Large Central Metro"	"1"	"Division 7: West South Central"	"CENS-D7"	"2011"	"2011"	"75-84 years"	"75-84"	Suppressed	362106	Suppressed
	"Large Central Metro"	"1"	"Division 7: West South Central"	"CENS-D7"	"2011"	"2011"	"85+ years"	"85+"	Suppressed	145814	Suppressed
	"Large Central Metro"	"1"	"Division 7: West South Central"	"CENS-D7"	"2011"	"2011"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Large Central Metro"	"1"	"Division 7: West South Central"	"CENS-D7"	"2011"	"2011"			768	13171343	5.8
	"Large Central Metro"	"1"	"Division 7: West South Central"	"CENS-D7"	"2012"	"2012"	"< 1 year"	"1"	Suppressed	206784	Suppressed
	"Large Central Metro"	"1"	"Division 7: West South Central"	"CENS-D7"	"2012"	"2012"	"1-4 years"	"1-4"	Suppressed	822411	Suppressed
	"Large Central Metro"	"1"	"Division 7: West South Central"	"CENS-D7"	"2012"	"2012"	"5-14 years"	"5-14"	Suppressed	2000852	Suppressed
	"Large Central Metro"	"1"	"Division 7: West South Central"	"CENS-D7"	"2012"	"2012"	"15-24 years"	"15-24"	113	1912892	5.9
	"Large Central Metro"	"1"	"Division 7: West South Central"	"CENS-D7"	"2012"	"2012"	"25-34 years"	"25-34"	196	2134798	9.2
	"Large Central Metro"	"1"	"Division 7: West South Central"	"CENS-D7"	"2012"	"2012"	"35-44 years"	"35-44"	148	1908515	7.8
	"Large Central Metro"	"1"	"Division 7: West South Central"	"CENS-D7"	"2012"	"2012"	"45-54 years"	"45-54"	185	1781451	10.4
	"Large Central Metro"	"1"	"Division 7: West South Central"	"CENS-D7"	"2012"	"2012"	"55-64 years"	"55-64"	112	1389874	8.1
	"Large Central Metro"	"1"	"Division 7: West South Central"	"CENS-D7"	"2012"	"2012"	"65-74 years"	"65-74"	18	736469	Unreliable
	"Large Central Metro"	"1"	"Division 7: West South Central"	"CENS-D7"	"2012"	"2012"	"75-84 years"	"75-84"	Suppressed	368445	Suppressed
	"Large Central Metro"	"1"	"Division 7: West South Central"	"CENS-D7"	"2012"	"2012"	"85+ years"	"85+"	Suppressed	152166	Suppressed
	"Large Central Metro"	"1"	"Division 7: West South Central"	"CENS-D7"	"2012"	"2012"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Large Central Metro"	"1"	"Division 7: West South Central"	"CENS-D7"	"2012"	"2012"			777	13414657	5.8
	"Large Central Metro"	"1"	"Division 7: West South Central"	"CENS-D7"	"2013"	"2013"	"< 1 year"	"1"	Suppressed	204028	Suppressed
	"Large Central Metro"	"1"	"Division 7: West South Central"	"CENS-D7"	"2013"	"2013"	"1-4 years"	"1-4"	Suppressed	822672	Suppressed
	"Large Central Metro"	"1"	"Division 7: West South Central"	"CENS-D7"	"2013"	"2013"	"5-14 years"	"5-14"	Suppressed	2031188	Suppressed
	"Large Central Metro"	"1"	"Division 7: West South Central"	"CENS-D7"	"2013"	"2013"	"15-24 years"	"15-24"	108	1927336	5.6
	"Large Central Metro"	"1"	"Division 7: West South Central"	"CENS-D7"	"2013"	"2013"	"25-34 years"	"25-34"	178	2178535	8.2
	"Large Central Metro"	"1"	"Division 7: West South Central"	"CENS-D7"	"2013"	"2013"	"35-44 years"	"35-44"	144	1941541	7.4
