"Notes"	"Census Division"	"Census Division Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Division 4: West North Central"	"CENS-D4"	"55-64 years"	"55-64"	"2014"	"2014"	226	2710887	8.3
	"Division 4: West North Central"	"CENS-D4"	"55-64 years"	"55-64"	"2015"	"2015"	249	2760798	9.0
	"Division 4: West North Central"	"CENS-D4"	"55-64 years"	"55-64"	"2016"	"2016"	268	2795149	9.6
	"Division 4: West North Central"	"CENS-D4"	"55-64 years"	"55-64"	"2017"	"2017"	292	2818618	10.4
	"Division 4: West North Central"	"CENS-D4"	"55-64 years"	"55-64"	"2018"	"2018"	267	2830080	9.4
	"Division 4: West North Central"	"CENS-D4"	"65-74 years"	"65-74"	"2007"	"2007"	10	1336141	Unreliable
	"Division 4: West North Central"	"CENS-D4"	"65-74 years"	"65-74"	"2008"	"2008"	17	1380083	Unreliable
	"Division 4: West North Central"	"CENS-D4"	"65-74 years"	"65-74"	"2009"	"2009"	20	1421491	1.4
	"Division 4: West North Central"	"CENS-D4"	"65-74 years"	"65-74"	"2010"	"2010"	10	1447588	Unreliable
	"Division 4: West North Central"	"CENS-D4"	"65-74 years"	"65-74"	"2011"	"2011"	25	1485255	1.7
	"Division 4: West North Central"	"CENS-D4"	"65-74 years"	"65-74"	"2012"	"2012"	34	1571255	2.2
	"Division 4: West North Central"	"CENS-D4"	"65-74 years"	"65-74"	"2013"	"2013"	32	1642803	1.9
	"Division 4: West North Central"	"CENS-D4"	"65-74 years"	"65-74"	"2014"	"2014"	38	1711616	2.2
	"Division 4: West North Central"	"CENS-D4"	"65-74 years"	"65-74"	"2015"	"2015"	52	1782799	2.9
	"Division 4: West North Central"	"CENS-D4"	"65-74 years"	"65-74"	"2016"	"2016"	46	1854498	2.5
	"Division 4: West North Central"	"CENS-D4"	"65-74 years"	"65-74"	"2017"	"2017"	57	1928964	3.0
	"Division 4: West North Central"	"CENS-D4"	"65-74 years"	"65-74"	"2018"	"2018"	68	1988286	3.4
	"Division 4: West North Central"	"CENS-D4"	"75-84 years"	"75-84"	"2007"	"2007"	Suppressed	943315	Suppressed
	"Division 4: West North Central"	"CENS-D4"	"75-84 years"	"75-84"	"2008"	"2008"	Suppressed	940036	Suppressed
	"Division 4: West North Central"	"CENS-D4"	"75-84 years"	"75-84"	"2009"	"2009"	Suppressed	933624	Suppressed
	"Division 4: West North Central"	"CENS-D4"	"75-84 years"	"75-84"	"2010"	"2010"	Suppressed	933925	Suppressed
	"Division 4: West North Central"	"CENS-D4"	"75-84 years"	"75-84"	"2011"	"2011"	Suppressed	935318	Suppressed
	"Division 4: West North Central"	"CENS-D4"	"75-84 years"	"75-84"	"2012"	"2012"	11	935575	Unreliable
	"Division 4: West North Central"	"CENS-D4"	"75-84 years"	"75-84"	"2013"	"2013"	10	940681	Unreliable
	"Division 4: West North Central"	"CENS-D4"	"75-84 years"	"75-84"	"2014"	"2014"	Suppressed	948881	Suppressed
	"Division 4: West North Central"	"CENS-D4"	"75-84 years"	"75-84"	"2015"	"2015"	Suppressed	957037	Suppressed
	"Division 4: West North Central"	"CENS-D4"	"75-84 years"	"75-84"	"2016"	"2016"	11	968857	Unreliable
	"Division 4: West North Central"	"CENS-D4"	"75-84 years"	"75-84"	"2017"	"2017"	Suppressed	986828	Suppressed
	"Division 4: West North Central"	"CENS-D4"	"75-84 years"	"75-84"	"2018"	"2018"	12	1023648	Unreliable
	"Division 4: West North Central"	"CENS-D4"	"85+ years"	"85+"	"2007"	"2007"	Suppressed	408395	Suppressed
	"Division 4: West North Central"	"CENS-D4"	"85+ years"	"85+"	"2008"	"2008"	Suppressed	415564	Suppressed
	"Division 4: West North Central"	"CENS-D4"	"85+ years"	"85+"	"2009"	"2009"	Suppressed	422626	Suppressed
	"Division 4: West North Central"	"CENS-D4"	"85+ years"	"85+"	"2010"	"2010"	Suppressed	429641	Suppressed
	"Division 4: West North Central"	"CENS-D4"	"85+ years"	"85+"	"2011"	"2011"	Suppressed	443876	Suppressed
	"Division 4: West North Central"	"CENS-D4"	"85+ years"	"85+"	"2012"	"2012"	Suppressed	450895	Suppressed
	"Division 4: West North Central"	"CENS-D4"	"85+ years"	"85+"	"2013"	"2013"	Suppressed	459298	Suppressed
	"Division 4: West North Central"	"CENS-D4"	"85+ years"	"85+"	"2014"	"2014"	Suppressed	464878	Suppressed
	"Division 4: West North Central"	"CENS-D4"	"85+ years"	"85+"	"2015"	"2015"	Suppressed	470428	Suppressed
	"Division 4: West North Central"	"CENS-D4"	"85+ years"	"85+"	"2016"	"2016"	Suppressed	473650	Suppressed
	"Division 4: West North Central"	"CENS-D4"	"85+ years"	"85+"	"2017"	"2017"	Suppressed	477275	Suppressed
	"Division 4: West North Central"	"CENS-D4"	"85+ years"	"85+"	"2018"	"2018"	Suppressed	481060	Suppressed
	"Division 4: West North Central"	"CENS-D4"	"Not Stated"	"NS"	"2007"	"2007"	Suppressed	Not Applicable	Not Applicable
	"Division 4: West North Central"	"CENS-D4"	"Not Stated"	"NS"	"2008"	"2008"	Suppressed	Not Applicable	Not Applicable
	"Division 4: West North Central"	"CENS-D4"	"Not Stated"	"NS"	"2009"	"2009"	Suppressed	Not Applicable	Not Applicable
	"Division 4: West North Central"	"CENS-D4"	"Not Stated"	"NS"	"2010"	"2010"	Suppressed	Not Applicable	Not Applicable
	"Division 4: West North Central"	"CENS-D4"	"Not Stated"	"NS"	"2011"	"2011"	Suppressed	Not Applicable	Not Applicable
	"Division 4: West North Central"	"CENS-D4"	"Not Stated"	"NS"	"2012"	"2012"	Suppressed	Not Applicable	Not Applicable
	"Division 4: West North Central"	"CENS-D4"	"Not Stated"	"NS"	"2013"	"2013"	Suppressed	Not Applicable	Not Applicable
	"Division 4: West North Central"	"CENS-D4"	"Not Stated"	"NS"	"2014"	"2014"	Suppressed	Not Applicable	Not Applicable
	"Division 4: West North Central"	"CENS-D4"	"Not Stated"	"NS"	"2015"	"2015"	Suppressed	Not Applicable	Not Applicable
	"Division 4: West North Central"	"CENS-D4"	"Not Stated"	"NS"	"2016"	"2016"	Suppressed	Not Applicable	Not Applicable
	"Division 4: West North Central"	"CENS-D4"	"Not Stated"	"NS"	"2017"	"2017"	Suppressed	Not Applicable	Not Applicable
	"Division 4: West North Central"	"CENS-D4"	"Not Stated"	"NS"	"2018"	"2018"	Suppressed	Not Applicable	Not Applicable
	"Division 5: South Atlantic"	"CENS-D5"	"< 1 year"	"1"	"2007"	"2007"	Suppressed	782421	Suppressed
	"Division 5: South Atlantic"	"CENS-D5"	"< 1 year"	"1"	"2008"	"2008"	Suppressed	776862	Suppressed
	"Division 5: South Atlantic"	"CENS-D5"	"< 1 year"	"1"	"2009"	"2009"	Suppressed	744458	Suppressed
	"Division 5: South Atlantic"	"CENS-D5"	"< 1 year"	"1"	"2010"	"2010"	Suppressed	734073	Suppressed
	"Division 5: South Atlantic"	"CENS-D5"	"< 1 year"	"1"	"2011"	"2011"	Suppressed	743889	Suppressed
	"Division 5: South Atlantic"	"CENS-D5"	"< 1 year"	"1"	"2012"	"2012"	Suppressed	735542	Suppressed
	"Division 5: South Atlantic"	"CENS-D5"	"< 1 year"	"1"	"2013"	"2013"	Suppressed	741146	Suppressed
	"Division 5: South Atlantic"	"CENS-D5"	"< 1 year"	"1"	"2014"	"2014"	Suppressed	738723	Suppressed
	"Division 5: South Atlantic"	"CENS-D5"	"< 1 year"	"1"	"2015"	"2015"	Suppressed	746923	Suppressed
	"Division 5: South Atlantic"	"CENS-D5"	"< 1 year"	"1"	"2016"	"2016"	Suppressed	748556	Suppressed
	"Division 5: South Atlantic"	"CENS-D5"	"< 1 year"	"1"	"2017"	"2017"	Suppressed	746832	Suppressed
	"Division 5: South Atlantic"	"CENS-D5"	"< 1 year"	"1"	"2018"	"2018"	Suppressed	731964	Suppressed
	"Division 5: South Atlantic"	"CENS-D5"	"1-4 years"	"1-4"	"2007"	"2007"	11	2970813	Unreliable
	"Division 5: South Atlantic"	"CENS-D5"	"1-4 years"	"1-4"	"2008"	"2008"	16	3007985	Unreliable
	"Division 5: South Atlantic"	"CENS-D5"	"1-4 years"	"1-4"	"2009"	"2009"	Suppressed	3030680	Suppressed
	"Division 5: South Atlantic"	"CENS-D5"	"1-4 years"	"1-4"	"2010"	"2010"	Suppressed	3027227	Suppressed
	"Division 5: South Atlantic"	"CENS-D5"	"1-4 years"	"1-4"	"2011"	"2011"	10	3018553	Unreliable
	"Division 5: South Atlantic"	"CENS-D5"	"1-4 years"	"1-4"	"2012"	"2012"	Suppressed	3000346	Suppressed
	"Division 5: South Atlantic"	"CENS-D5"	"1-4 years"	"1-4"	"2013"	"2013"	Suppressed	2989091	Suppressed
	"Division 5: South Atlantic"	"CENS-D5"	"1-4 years"	"1-4"	"2014"	"2014"	Suppressed	2992673	Suppressed
	"Division 5: South Atlantic"	"CENS-D5"	"1-4 years"	"1-4"	"2015"	"2015"	11	2995686	Unreliable
	"Division 5: South Atlantic"	"CENS-D5"	"1-4 years"	"1-4"	"2016"	"2016"	10	3014819	Unreliable
	"Division 5: South Atlantic"	"CENS-D5"	"1-4 years"	"1-4"	"2017"	"2017"	Suppressed	3031512	Suppressed
	"Division 5: South Atlantic"	"CENS-D5"	"1-4 years"	"1-4"	"2018"	"2018"	Suppressed	3042265	Suppressed
	"Division 5: South Atlantic"	"CENS-D5"	"5-14 years"	"5-14"	"2007"	"2007"	Suppressed	7465624	Suppressed
	"Division 5: South Atlantic"	"CENS-D5"	"5-14 years"	"5-14"	"2008"	"2008"	10	7502680	Unreliable
	"Division 5: South Atlantic"	"CENS-D5"	"5-14 years"	"5-14"	"2009"	"2009"	Suppressed	7552644	Suppressed
	"Division 5: South Atlantic"	"CENS-D5"	"5-14 years"	"5-14"	"2010"	"2010"	Suppressed	7604710	Suppressed
	"Division 5: South Atlantic"	"CENS-D5"	"5-14 years"	"5-14"	"2011"	"2011"	10	7635310	Unreliable
	"Division 5: South Atlantic"	"CENS-D5"	"5-14 years"	"5-14"	"2012"	"2012"	Suppressed	7693953	Suppressed
	"Division 5: South Atlantic"	"CENS-D5"	"5-14 years"	"5-14"	"2013"	"2013"	Suppressed	7733639	Suppressed
	"Division 5: South Atlantic"	"CENS-D5"	"5-14 years"	"5-14"	"2014"	"2014"	Suppressed	7764544	Suppressed
	"Division 5: South Atlantic"	"CENS-D5"	"5-14 years"	"5-14"	"2015"	"2015"	10	7780691	Unreliable
	"Division 5: South Atlantic"	"CENS-D5"	"5-14 years"	"5-14"	"2016"	"2016"	Suppressed	7797281	Suppressed
	"Division 5: South Atlantic"	"CENS-D5"	"5-14 years"	"5-14"	"2017"	"2017"	Suppressed	7836868	Suppressed
	"Division 5: South Atlantic"	"CENS-D5"	"5-14 years"	"5-14"	"2018"	"2018"	Suppressed	7872903	Suppressed
	"Division 5: South Atlantic"	"CENS-D5"	"15-24 years"	"15-24"	"2007"	"2007"	541	8062150	6.7
	"Division 5: South Atlantic"	"CENS-D5"	"15-24 years"	"15-24"	"2008"	"2008"	561	8144319	6.9
	"Division 5: South Atlantic"	"CENS-D5"	"15-24 years"	"15-24"	"2009"	"2009"	493	8200072	6.0
	"Division 5: South Atlantic"	"CENS-D5"	"15-24 years"	"15-24"	"2010"	"2010"	506	8221636	6.2
	"Division 5: South Atlantic"	"CENS-D5"	"15-24 years"	"15-24"	"2011"	"2011"	492	8274215	5.9
	"Division 5: South Atlantic"	"CENS-D5"	"15-24 years"	"15-24"	"2012"	"2012"	409	8330555	4.9
	"Division 5: South Atlantic"	"CENS-D5"	"15-24 years"	"15-24"	"2013"	"2013"	382	8335049	4.6
	"Division 5: South Atlantic"	"CENS-D5"	"15-24 years"	"15-24"	"2014"	"2014"	523	8349766	6.3
	"Division 5: South Atlantic"	"CENS-D5"	"15-24 years"	"15-24"	"2015"	"2015"	615	8342080	7.4
	"Division 5: South Atlantic"	"CENS-D5"	"15-24 years"	"15-24"	"2016"	"2016"	848	8279234	10.2
	"Division 5: South Atlantic"	"CENS-D5"	"15-24 years"	"15-24"	"2017"	"2017"	911	8273354	11.0
	"Division 5: South Atlantic"	"CENS-D5"	"15-24 years"	"15-24"	"2018"	"2018"	763	8267291	9.2
	"Division 5: South Atlantic"	"CENS-D5"	"25-34 years"	"25-34"	"2007"	"2007"	937	7525729	12.5
	"Division 5: South Atlantic"	"CENS-D5"	"25-34 years"	"25-34"	"2008"	"2008"	982	7614339	12.9
	"Division 5: South Atlantic"	"CENS-D5"	"25-34 years"	"25-34"	"2009"	"2009"	1020	7703429	13.2
	"Division 5: South Atlantic"	"CENS-D5"	"25-34 years"	"25-34"	"2010"	"2010"	1132	7773075	14.6
	"Division 5: South Atlantic"	"CENS-D5"	"25-34 years"	"25-34"	"2011"	"2011"	1251	7937271	15.8
	"Division 5: South Atlantic"	"CENS-D5"	"25-34 years"	"25-34"	"2012"	"2012"	1070	8064496	13.3
	"Division 5: South Atlantic"	"CENS-D5"	"25-34 years"	"25-34"	"2013"	"2013"	1181	8174052	14.4
	"Division 5: South Atlantic"	"CENS-D5"	"25-34 years"	"25-34"	"2014"	"2014"	1479	8332731	17.7
	"Division 5: South Atlantic"	"CENS-D5"	"25-34 years"	"25-34"	"2015"	"2015"	1843	8483653	21.7
	"Division 5: South Atlantic"	"CENS-D5"	"25-34 years"	"25-34"	"2016"	"2016"	2745	8604212	31.9
	"Division 5: South Atlantic"	"CENS-D5"	"25-34 years"	"25-34"	"2017"	"2017"	3248	8762898	37.1
	"Division 5: South Atlantic"	"CENS-D5"	"25-34 years"	"25-34"	"2018"	"2018"	3067	8861969	34.6
	"Division 5: South Atlantic"	"CENS-D5"	"35-44 years"	"35-44"	"2007"	"2007"	1188	8402757	14.1
	"Division 5: South Atlantic"	"CENS-D5"	"35-44 years"	"35-44"	"2008"	"2008"	1112	8321130	13.4
	"Division 5: South Atlantic"	"CENS-D5"	"35-44 years"	"35-44"	"2009"	"2009"	1085	8181936	13.3
	"Division 5: South Atlantic"	"CENS-D5"	"35-44 years"	"35-44"	"2010"	"2010"	1156	8095977	14.3
	"Division 5: South Atlantic"	"CENS-D5"	"35-44 years"	"35-44"	"2011"	"2011"	1186	8001263	14.8
	"Division 5: South Atlantic"	"CENS-D5"	"35-44 years"	"35-44"	"2012"	"2012"	1151	7982887	14.4
	"Division 5: South Atlantic"	"CENS-D5"	"35-44 years"	"35-44"	"2013"	"2013"	1165	7969151	14.6
	"Division 5: South Atlantic"	"CENS-D5"	"35-44 years"	"35-44"	"2014"	"2014"	1428	7980864	17.9
	"Division 5: South Atlantic"	"CENS-D5"	"35-44 years"	"35-44"	"2015"	"2015"	1725	8003623	21.6
	"Division 5: South Atlantic"	"CENS-D5"	"35-44 years"	"35-44"	"2016"	"2016"	2399	7995362	30.0
	"Division 5: South Atlantic"	"CENS-D5"	"35-44 years"	"35-44"	"2017"	"2017"	2831	8074488	35.1
	"Division 5: South Atlantic"	"CENS-D5"	"35-44 years"	"35-44"	"2018"	"2018"	2893	8161254	35.4
	"Division 5: South Atlantic"	"CENS-D5"	"45-54 years"	"45-54"	"2007"	"2007"	1271	8417394	15.1
	"Division 5: South Atlantic"	"CENS-D5"	"45-54 years"	"45-54"	"2008"	"2008"	1324	8560591	15.5
	"Division 5: South Atlantic"	"CENS-D5"	"45-54 years"	"45-54"	"2009"	"2009"	1392	8689937	16.0
	"Division 5: South Atlantic"	"CENS-D5"	"45-54 years"	"45-54"	"2010"	"2010"	1404	8762436	16.0
	"Division 5: South Atlantic"	"CENS-D5"	"45-54 years"	"45-54"	"2011"	"2011"	1481	8761878	16.9
	"Division 5: South Atlantic"	"CENS-D5"	"45-54 years"	"45-54"	"2012"	"2012"	1400	8729731	16.0
	"Division 5: South Atlantic"	"CENS-D5"	"45-54 years"	"45-54"	"2013"	"2013"	1392	8685616	16.0
	"Division 5: South Atlantic"	"CENS-D5"	"45-54 years"	"45-54"	"2014"	"2014"	1562	8664399	18.0
	"Division 5: South Atlantic"	"CENS-D5"	"45-54 years"	"45-54"	"2015"	"2015"	1742	8666636	20.1
	"Division 5: South Atlantic"	"CENS-D5"	"45-54 years"	"45-54"	"2016"	"2016"	2262	8676325	26.1
	"Division 5: South Atlantic"	"CENS-D5"	"45-54 years"	"45-54"	"2017"	"2017"	2575	8656413	29.7
	"Division 5: South Atlantic"	"CENS-D5"	"45-54 years"	"45-54"	"2018"	"2018"	2391	8558816	27.9
	"Division 5: South Atlantic"	"CENS-D5"	"55-64 years"	"55-64"	"2007"	"2007"	384	6614800	5.8
	"Division 5: South Atlantic"	"CENS-D5"	"55-64 years"	"55-64"	"2008"	"2008"	443	6799504	6.5
	"Division 5: South Atlantic"	"CENS-D5"	"55-64 years"	"55-64"	"2009"	"2009"	508	7020472	7.2
	"Division 5: South Atlantic"	"CENS-D5"	"55-64 years"	"55-64"	"2010"	"2010"	609	7220244	8.4
	"Division 5: South Atlantic"	"CENS-D5"	"55-64 years"	"55-64"	"2011"	"2011"	605	7521174	8.0
	"Division 5: South Atlantic"	"CENS-D5"	"55-64 years"	"55-64"	"2012"	"2012"	694	7608479	9.1
	"Division 5: South Atlantic"	"CENS-D5"	"55-64 years"	"55-64"	"2013"	"2013"	748	7736155	9.7
	"Division 5: South Atlantic"	"CENS-D5"	"55-64 years"	"55-64"	"2014"	"2014"	928	7896187	11.8
	"Division 5: South Atlantic"	"CENS-D5"	"55-64 years"	"55-64"	"2015"	"2015"	1153	8086690	14.3
	"Division 5: South Atlantic"	"CENS-D5"	"55-64 years"	"55-64"	"2016"	"2016"	1501	8264132	18.2
	"Division 5: South Atlantic"	"CENS-D5"	"55-64 years"	"55-64"	"2017"	"2017"	1773	8420140	21.1
