Census Division Code,Year,urbanization,cost,cost_pc,total_deaths,Census Division
CENS-D8,2016,Fringe/Small/Medium Metro,17679.79770382918,4283.087405034131,2889,Mountain
CENS-D8,2016,Micropolitan/Rural,5087.597479831268,2553.4539132883865,2889,Mountain
CENS-D8,2017,Large Central Metro,14840.750787906181,1777.0413074035148,3041,Mountain
CENS-D8,2017,Fringe/Small/Medium Metro,17224.803757284037,4112.801710099962,3041,Mountain
CENS-D8,2017,Micropolitan/Rural,4721.118556521594,2210.5590948185863,3041,Mountain
CENS-D8,2018,Large Central Metro,16078.767074553729,1889.04255730109,3210,Mountain
CENS-D8,2018,Fringe/Small/Medium Metro,17036.68027280434,4023.0275767070225,3210,Mountain
CENS-D8,2018,Micropolitan/Rural,4472.577869628984,2135.022306378615,3210,Mountain
CENS-D9,2007,Large Central Metro,17960.172829019288,702.7696420764987,2897,Pacific
CENS-D9,2007,Fringe/Small/Medium Metro,18806.69049721508,2790.117796597085,2897,Pacific
CENS-D9,2007,Micropolitan/Rural,3615.7883496266622,2540.6533530205706,2897,Pacific
CENS-D9,2008,Large Central Metro,19788.798206140276,766.5222480282846,3101,Pacific
CENS-D9,2008,Fringe/Small/Medium Metro,20425.963161414107,3025.603027761184,3101,Pacific
CENS-D9,2008,Micropolitan/Rural,4192.25263426695,3129.08392804842,3101,Pacific
CENS-D9,2009,Large Central Metro,21601.652153205072,827.7625084683043,3400,Pacific
CENS-D9,2009,Fringe/Small/Medium Metro,23064.11780763255,3352.655073790741,3400,Pacific
CENS-D9,2009,Micropolitan/Rural,3926.752884078258,3033.611953957698,3400,Pacific
